cohort,gene_symbol,hedges_g,variance
GSE96804,ITGA8,-0.8363471729096168,0.08031801164509926
GSE96804,ITGA9,1.01571934745402,0.08313334384135784
GSE96804,ITGAD,0.852952518202258,0.08055573541352015
GSE96804,ITGAE,0.4012967825794612,0.0757549821033596
GSE96804,ITGAL,0.2888908108397791,0.07509751424640228
GSE96804,ITGAM,0.32560043340016764,0.07528868154845916
GSE96804,ITGAV,-0.22131251840153324,0.07480532212956809
GSE96804,ITGAX,0.37232259513699956,0.07556502453675724
GSE96804,ITGB1,0.7144550895977904,0.07871605809779654
GSE96804,ITGB2,0.33093971326281185,0.07531838876527353
GSE96804,ITGB3,0.27249024677912476,0.07501948911082672
GSE96804,ITGB4,0.8631636837302665,0.08070424004575091
GSE96804,ITGB5,-1.153155170429175,0.08565945447097749
GSE96804,ITGB6,0.914575250311492,0.08147878533025536
GSE96804,ITGB7,-0.26414925956147833,0.07498155603232781
GSE96804,ITGB8,-0.1511752510756989,0.07458392150021699
GSE96804,JAM2,1.1252655431181193,0.08512094341539593
GSE96804,JAM3,-0.21238424463882322,0.07477250718524243
GSE96804,JUNB,-2.1997283063095123,0.11539706272938238
GSE96804,KDR,-1.1538668698906678,0.08567336893151772
GSE96804,KLK2,-0.023130735870582994,0.07439477806296373
GSE96804,KLK7,-0.9961339732235583,0.08279942095845727
GSE96804,KLKB1,0.4741484804957804,0.07629547086478188
GSE96804,KNG1,-1.0958519143406353,0.08456728981908339
GSE96804,KRAS,0.5832303512368551,0.07727293578891245
GSE96804,L1CAM,1.0454297474514358,0.08365230624867948
GSE96804,LAMA1,0.5621049067959062,0.07706788734518508
GSE96804,LAMA2,1.037282445818594,0.08350850553297634
GSE96804,LAMA3,0.4115943326824507,0.07582592097613658
GSE96804,LAMA4,1.4164626926562793,0.0913933503404651
GSE96804,LAMB1,0.6642659497544106,0.07812964434314351
GSE96804,LAMB2,-1.0271054331295204,0.08333046060383037
GSE96804,LAMC1,1.1397370665361624,0.08539872340105306
GSE96804,LAMC2,1.006504250062931,0.08297542021934362
GSE96804,LAMC3,1.238476824422963,0.08738875953492026
GSE96804,LCK,0.4110932258443591,0.07582242729510955
GSE96804,LIMD1,1.0934327479777033,0.08452240639693115
GSE96804,LOX,-1.7332606738809782,0.09984950291618769
GSE96804,LOXL1,0.2559720041534411,0.07494551226608588
GSE96804,LOXL2,1.1159303956056912,0.0849436392230888
GSE96804,LOXL3,-0.5028771456385726,0.07653334071265595
GSE96804,LOXL4,1.4995168278094553,0.09344575845230116
GSE96804,LRP4,0.062383727797416695,0.07442322466086192
GSE96804,LTBP1,1.658801866407982,0.09770908824141025
GSE96804,LTBP2,0.7989062293608792,0.07979915206609679
GSE96804,LTBP3,-0.04701343904054583,0.07440897494862901
GSE96804,LTBP4,0.03879823546378787,0.07440300070816024
GSE96804,LUM,1.527571360157234,0.09416544949881717
GSE96804,LYN,-0.007270263195060311,0.0743906918408028
GSE96804,MADCAM1,-0.6956899610698362,0.0784918076476369
GSE96804,MAG,-0.17004111737607178,0.07463527764479921
GSE96804,MAPK1,-0.6671415404076398,0.07816208996123121
