gene_symbol,mapping_status,n_samples,n_dkd,n_control,n_male,n_female,unadjusted_mean_difference,unadjusted_welch_p,sex_adjusted_disease_beta,sex_adjusted_disease_se,sex_adjusted_disease_p,direction_changed_after_sex_adjustment,sex_adjusted_fdr_bh_145
ENG,MAPPED,61.0,41.0,20.0,43.0,18.0,-0.1143625609756107,0.24400962686250594,-0.11444734717416355,0.10377701598194815,0.27466041085290244,False,0.37220336050159675
C8G,MAPPED,61.0,41.0,20.0,43.0,18.0,0.08087642682926877,0.0017106052315351658,0.08086945213379518,0.02590336873302574,0.0028007098987671043,False,0.006768382255353836
CD34,MAPPED,61.0,41.0,20.0,43.0,18.0,0.2005325609756099,0.07511857423977807,0.19967508650519197,0.12887623261494915,0.12673608892955146,False,0.19759927843854797
FGA,MAPPED,61.0,41.0,20.0,43.0,18.0,0.22395117073170745,0.38429833766101296,0.22514529411764725,0.306286560885751,0.46525242548012213,False,0.5815655318501527
FGB,MAPPED,61.0,41.0,20.0,43.0,18.0,0.3085051097560978,0.5691767277857729,0.3074482929642456,0.5507877708193566,0.5788581052460335,False,0.6879870923006136
CXCL8,NOT_MAPPED,,,,,,,,,,,,1.0
ESAM,MAPPED,61.0,41.0,20.0,43.0,18.0,0.13640651219512367,0.08632612435685862,0.13574823529411884,0.07772292949747517,0.08600672129944364,False,0.14334453549907275
C5AR1,MAPPED,61.0,41.0,20.0,43.0,18.0,-0.8165532195121941,0.0028146073265045294,-0.8155444117647057,0.197630334565797,0.00011918063044055537,False,0.0006912476565552211
CXCL9,MAPPED,61.0,41.0,20.0,43.0,18.0,-0.7626858536585353,0.15359233303835704,-0.7679540657439441,0.5071967329317562,0.13542753900249213,False,0.20670519110906693
TGFBR1,MAPPED,61.0,41.0,20.0,43.0,18.0,0.3103218902439018,1.4309234293009523e-05,0.3097820761245687,0.08371661651902919,0.00048066348612553787,False,0.0016594334640048331
CCL20,MAPPED,61.0,41.0,20.0,43.0,18.0,0.03561214634146381,0.8693752184647159,0.03392130911188061,0.2289973710376497,0.8827542091431834,False,0.9501890944039455
